PeakID (cmd=annotatePeaks.pl tal1_specific.bed mm10 -annStats tal1_peaks_annstats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
tal1_peak_1142	chr2	155740686	155740719	+	78	NA	Intergenic	PB1|SINE|Alu	-10515	NM_011171	19124	Mm.3243	NM_011171	ENSMUSG00000027611	Procr	AI325044|Ccca|Ccd41|Epcr	protein C receptor, endothelial	protein-coding
tal1_peak_69	chr1	95619982	95620017	+	78	NA	intron (NM_009183, intron 4 of 4)	B1_Mus2|SINE|Alu	47595	NM_001159745	20452	Mm.306228	NM_009183	ENSMUSG00000040710	St8sia4	PST|PST-1|SIAT8-D|ST8SiaIV|Siat8d	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	protein-coding
tal1_peak_104	chr1	168854791	168854826	+	78	NA	Intergenic	L1Md_T|LINE|L1	164281	NR_105772	102466632		NR_105772	ENSMUSG00000098829	Mir6354	Gm27282|mmu-mir-6354	microRNA 6354	ncRNA
tal1_peak_1483	chr5	135495839	135495872	+	78	NA	intron (NM_146001, intron 1 of 30)	PB1D9|SINE|Alu	49267	NM_146001	215114	Mm.280805	NM_146001	ENSMUSG00000039959	Hip1	2610109B09Rik|A930014B11Rik|E130315I21Rik|mKIAA4113	huntingtin interacting protein 1	protein-coding
tal1_peak_170	chr10	61522387	61522421	+	78	NA	intron (NM_153542, intron 2 of 4)	PB1D9|SINE|Alu	46571	NM_153542	216011	Mm.136116	NM_153542	ENSMUSG00000037151	Lrrc20	BC036304	leucine rich repeat containing 20	protein-coding
tal1_peak_400	chr12	77209921	77209955	+	78	NA	Intergenic	B1F1|SINE|Alu	-28166	NM_001252614	53618	Mm.35628	NM_016893	ENSMUSG00000021065	Fut8	-	fucosyltransferase 8	protein-coding
tal1_peak_1596	chr6	113684042	113684078	+	78	NA	intron (NM_001113553, intron 9 of 11)	PB1|SINE|Alu	-12990	NM_001347356	381801	Mm.333322	NM_001033463	ENSMUSG00000056952	Tatdn2	AI646012|mKIAA0218	TatD DNase domain containing 2	protein-coding
tal1_peak_1673	chr7	71084180	71084217	+	78	NA	Intergenic	Lx8b|LINE|L1	-717452	NM_183261	11819	Mm.158143	NM_009697	ENSMUSG00000030551	Nr2f2	2700033K02Rik|9430015G03Rik|ARP-1|Aporp1|COUP-TF2|COUP-TFII|COUPTFB|EAR3|SVP40|Tcfcoup2	nuclear receptor subfamily 2, group F, member 2	protein-coding
tal1_peak_280	chr11	75802316	75802351	+	78	NA	intron (NR_136932, intron 1 of 4)	PB1|SINE|Alu	-6273	NM_007873	13447	Mm.5137	NM_007873	ENSMUSG00000020848	Doc2b	-	double C2, beta	protein-coding
tal1_peak_427	chr12	108343635	108343670	+	78	NA	intron (NM_010010, intron 3 of 14)	B1_Mur1|SINE|Alu	9336	NM_010010	13116	Mm.41911	NM_010010	ENSMUSG00000021259	Cyp46a1	CH24H|Cyp46	cytochrome P450, family 46, subfamily a, polypeptide 1	protein-coding
tal1_peak_1172	chr2	174454746	174454781	+	78	NA	intron (NM_001080971, intron 1 of 3)	B1_Mur1|SINE|Alu	4168	NM_001080971	545486	Mm.45285	NM_001080971	ENSMUSG00000016255	Tubb1	2810484G07Rik|M(beta)1	tubulin, beta 1 class VI	protein-coding
tal1_peak_1162	chr2	168308767	168308801	+	78	NA	Intergenic	B4A|SINE|B4	-39453	NM_001081134	241794	Mm.425102	NM_001081134	ENSMUSG00000074575	Kcng1	AW536275	potassium voltage-gated channel, subfamily G, member 1	protein-coding
tal1_peak_996	chr19	54303057	54303090	+	78	NA	Intergenic	PB1D7|SINE|Alu	257814	NM_007417	11551	Mm.235195	NM_007417	ENSMUSG00000033717	Adra2a	AW122659|Adra-2|Adra-2a|alpha(2A)AR|alpha2-C10|alpha2A|alpha2A-AR	adrenergic receptor, alpha 2a	protein-coding
tal1_peak_2051	chr9	43114085	43114119	+	78	NA	intron (NM_001034863, intron 1 of 2)	B1F2|SINE|Alu	2468	NM_001034863	235300	Mm.261326	NM_001034863	ENSMUSG00000048503	Tmem136	AA396355|Gm184	transmembrane protein 136	protein-coding
tal1_peak_2036	chr9	16997002	16997036	+	78	NA	Intergenic	L1_Rod|LINE|L1	-494965	NM_001080814	270120	Mm.195010	NM_001080814	ENSMUSG00000074505	Fat3	9430076A06Rik|D430038H04Rik|Gm1132|Gm510|MFAT3F	FAT atypical cadherin 3	protein-coding
tal1_peak_744	chr16	30944468	30944502	+	78	NA	Intergenic	B1_Mur1|SINE|Alu	136947	NM_198626	268880	Mm.286693	NM_198626	ENSMUSG00000047434	Xxylt1	AI480653	xyloside xylosyltransferase 1	protein-coding
tal1_peak_1065	chr2	71549128	71549162	+	78	NA	intron (NR_039557, intron 2 of 3)	B1F2|SINE|Alu	-2391	NM_010054	13392	Mm.3896	NM_010054	ENSMUSG00000023391	Dlx2	AW121999|Dlx-2|Tes-1	distal-less homeobox 2	protein-coding
tal1_peak_465	chr13	38101659	38101693	+	78	NA	Intergenic	PB1|SINE|Alu	-49618	NM_023842	109620	Mm.355327	NM_023842	ENSMUSG00000054889	Dsp	2300002E22Rik|5730453H04Rik|AA407887|AA407888|AW109828|DP|rul	desmoplakin	protein-coding
tal1_peak_754	chr16	36064749	36064786	+	78	NA	intron (NM_027342, intron 1 of 4)	PB1|SINE|Alu	6794	NM_027342	70186	Mm.212991	NM_027342	ENSMUSG00000003955	Fam162a	2310056P07Rik|HGTD-P	family with sequence similarity 162, member A	protein-coding
tal1_peak_1308	chr4	69173672	69173706	+	78	NA	Intergenic	L1Md_T|LINE|L1	-219292	NM_019967	56710	Mm.248788	NM_019967	ENSMUSG00000028351	Brinp1	BRINP|Dbc1|Dbccr1|Fam5a	bone morphogenic protein/retinoic acid inducible neural specific 1	protein-coding
tal1_peak_1075	chr2	81963799	81963834	+	78	NA	Intergenic	L1_Mur1|LINE|L1	-89842	NM_175513	241514	Mm.119383	NM_175513	ENSMUSG00000070866	Zfp804a	C630007C17Rik|Znf804a	zinc finger protein 804A	protein-coding
tal1_peak_645	chr14	115379495	115379533	+	78	NA	intron (NM_175500, intron 3 of 7)	L1Md_A|LINE|L1	30038	NR_045761	75088	Mm.444706	NR_045761	ENSMUSG00000093551	4930505G20Rik	-	RIKEN cDNA 4930505G20 gene	ncRNA
tal1_peak_2373	chrX	52999314	52999481	+	78	NA	intron (NM_013556, intron 2 of 8)	B4A|SINE|B4	11319	NM_013556	15452	Mm.299381	NM_013556	ENSMUSG00000025630	Hprt	C81579|HPGRT|Hprt1	hypoxanthine guanine phosphoribosyl transferase	protein-coding
tal1_peak_1706	chr7	116108999	116109033	+	78	NA	Intergenic	PB1|SINE|Alu	15636	NM_019772	56372	Mm.24231	NM_019772	ENSMUSG00000030663	1110004F10Rik	Smacp|Smap|sid2057|sid2057p	RIKEN cDNA 1110004F10 gene	protein-coding
tal1_peak_1610	chr6	125318435	125318469	+	78	NA	Intergenic	B1F1|SINE|Alu	-2888	NM_011324	20276	Mm.144114	NM_011324	ENSMUSG00000030340	Scnn1a	ENaC|SCNEA|Scnn1|mENaC	sodium channel, nonvoltage-gated 1 alpha	protein-coding
tal1_peak_164	chr10	46914779	46914814	+	78	NA	Intergenic	L1Md_T|LINE|L1	670048	NR_028274	100302593		NR_028274	ENSMUSG00000095118	Snord14d	Gm23710	small nucleolar RNA, C/D box 14D	snoRNA
tal1_peak_1594	chr6	109505269	109505322	+	78	NA	Intergenic	LSU-rRNA_Hsa|rRNA|rRNA	676654	NM_138677	192193	Mm.21596	NM_138677	ENSMUSG00000030104	Edem1	A130059K23Rik|EDEM|mKIAA0212	ER degradation enhancer, mannosidase alpha-like 1	protein-coding
tal1_peak_896	chr18	11092207	11092240	+	78	NA	Intergenic	PB1D10|SINE|Alu	-39656	NR_105023	68434	Mm.57626	NR_105022	ENSMUSG00000097222	1010001N08Rik	Gata6as	RIKEN cDNA 1010001N08 gene	ncRNA
tal1_peak_1372	chr4	149678470	149678505	+	78	NA	intron (NM_001029837, intron 1 of 23)	B1_Mur2|SINE|Alu	-2398	NM_001164051	18707	Mm.229108	NM_008840	ENSMUSG00000039936	Pik3cd	2410099E07Rik|2610208K16Rik|AW545373|p110delta	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	protein-coding
tal1_peak_1289	chr4	43073019	43073054	+	78	NA	intron (NM_021468, intron 1 of 39)	PB1|SINE|Alu	14083	NM_021468	22249	Mm.128892	NM_021468	ENSMUSG00000028456	Unc13b	Munc13-1|Munc13-2|Unc13a|Unc13h1|Unc13h2	unc-13 homolog B	protein-coding
tal1_peak_219	chr10	128754972	128755009	+	78	NA	intron (NM_001253704, intron 2 of 3)	PB1|SINE|Alu	6535	NM_001253704	78428	Mm.27358	NM_030100	ENSMUSG00000064030	Pym1	A030010B05Rik|Pym|Wibg	PYM homolog 1, exon junction complex associated factor	protein-coding
tal1_peak_1192	chr3	30862859	30862894	+	78	NA	intron (NM_001286994, intron 1 of 3)	B1F|SINE|Alu	6926	NM_001286995	71862	Mm.272019	NM_027965	ENSMUSG00000037661	Gpr160	1700025D19Rik|GPCR150	G protein-coupled receptor 160	protein-coding
tal1_peak_738	chr16	19827238	19827271	+	78	NA	Intergenic	Lx3_Mus|LINE|L1	57020	NR_027896	68162	Mm.35159	NR_015488	ENSMUSG00000075330	A930003A15Rik	AI853191	RIKEN cDNA A930003A15 gene	ncRNA
tal1_peak_831	chr17	33880928	33880965	+	78	NA	intron (NM_001195298, intron 10 of 10)	(GAATG)n|Simple_repeat|Simple_repeat	5787	NR_105933	102466211		NR_105933	ENSMUSG00000098586	Gm27775	Mir6967|Mir6967-1|mmu-mir-6967|mmu-mir-6967-1	predicted gene, 27775	ncRNA
tal1_peak_2386	chrX	53003199	53003284	+	78	NA	intron (NM_013556, intron 3 of 8)	intron (NM_013556, intron 3 of 8)	15163	NM_013556	15452	Mm.299381	NM_013556	ENSMUSG00000025630	Hprt	C81579|HPGRT|Hprt1	hypoxanthine guanine phosphoribosyl transferase	protein-coding
tal1_peak_1492	chr5	138326225	138326258	+	78	NA	Intergenic	Lx5|LINE|L1	-37478	NR_157560	100303731	Mm.392433	NR_157560		Gm10874	-	predicted gene 10874	ncRNA
tal1_peak_1463	chr5	121102061	121102096	+	78	NA	Intergenic	ID_B1|SINE|B4	89319	NM_011202	19247	Mm.8681	NM_011202	ENSMUSG00000043733	Ptpn11	2700084A17Rik|AW536184|PTP1D|PTP2C|SAP-2|SH-PTP2|SH-PTP3|SHP-2|Shp2|Syp	protein tyrosine phosphatase, non-receptor type 11	protein-coding
tal1_peak_1525	chr6	13349842	13349880	+	78	NA	Intergenic	L1MA7|LINE|L1	-63476	NR_038149	69413	Mm.177847	NR_038149	ENSMUSG00000101894	1700016P04Rik	-	RIKEN cDNA 1700016P04 gene	ncRNA
tal1_peak_1712	chr7	120840662	120840696	+	78	NA	Intergenic	B1_Mm|SINE|Alu	-2152	NM_007908	13631	Mm.25997	NM_007908	ENSMUSG00000035064	Eef2k	C86191|eEF-2K	eukaryotic elongation factor-2 kinase	protein-coding
tal1_peak_1500	chr5	143763162	143763198	+	78	NA	intron (NR_015486, intron 1 of 1)	PB1|SINE|Alu	4826	NR_015486	320064	Mm.332820	NR_015486		D130017N08Rik	1700012G11Rik	RIKEN cDNA D130017N08 gene	ncRNA
tal1_peak_109	chr1	177642406	177642439	+	78	NA	intron (NR_037994, intron 1 of 2)	B1F|SINE|Alu	521	NR_037994	75589	Mm.86666	NR_037994	ENSMUSG00000101746	2310043L19Rik	-	RIKEN cDNA 2310043L19 gene	ncRNA
tal1_peak_259	chr11	57507737	57507770	+	78	NA	intron (NM_026342, intron 5 of 13)	PB1|SINE|Alu	10891	NM_001168667	67726	Mm.25632	NM_026342	ENSMUSG00000020523	Fam114a2	1810073G14Rik|9030624B09Rik	family with sequence similarity 114, member A2	protein-coding
tal1_peak_1365	chr4	139723787	139723821	+	78	NA	Intergenic	B1_Mur2|SINE|Alu	70266	NM_031873	83770	Mm.190612	NM_031873	ENSMUSG00000028738	Tas1r2	Gpr71|T1r2|TR2	taste receptor, type 1, member 2	protein-coding
tal1_peak_2357	chrX	52959378	52959491	+	78	NA	Intergenic	B3A|SINE|B2	-28644	NM_013556	15452	Mm.299381	NM_013556	ENSMUSG00000025630	Hprt	C81579|HPGRT|Hprt1	hypoxanthine guanine phosphoribosyl transferase	protein-coding
tal1_peak_811	chr17	5580158	5580193	+	78	NA	intron (NM_146073, intron 1 of 8)	PB1|SINE|Alu	87575	NM_146073	224454	Mm.487663	NM_146073	ENSMUSG00000034265	Zdhhc14	B530001K09Rik|New1cp	zinc finger, DHHC domain containing 14	protein-coding
tal1_peak_2418	chrX	132795389	132795425	+	78	NA	Intergenic	L1Md_A|LINE|L1	-892373	NR_153117	102632590	Mm.403836	NR_153117	ENSMUSG00000096978	Gm26851	-	predicted gene, 26851	ncRNA
tal1_peak_1466	chr5	121663122	121663155	+	78	NA	intron (NM_001289543, intron 2 of 10)	B1F|SINE|Alu	2269	NM_001289544	72399	Mm.153372	NM_028227	ENSMUSG00000029458	Brap	3010002G07Rik|BRAP2|IMP	BRCA1 associated protein	protein-coding
tal1_peak_1532	chr6	30317828	30317862	+	78	NA	Intergenic	PB1|SINE|Alu	-13306	NM_001169576	22214	Mm.332967	NM_009459	ENSMUSG00000039159	Ube2h	1500009C23Rik|AI181839|AI326965|AI462483|AW227540|E2-20K|Gid3|N28148|Ubc8	ubiquitin-conjugating enzyme E2H	protein-coding
tal1_peak_1482	chr5	132154905	132154939	+	78	NA	intron (NM_001363480, intron 2 of 19)	B1_Mm|SINE|Alu	274653	NR_040704	75369	Mm.389696	NR_040704	ENSMUSG00000105773	4930563F08Rik	-	RIKEN cDNA 4930563F08 gene	ncRNA
tal1_peak_1790	chr8	40635048	40635082	+	78	NA	promoter-TSS (NM_001040699)	promoter-TSS (NM_001040699)	-273	NM_001040699	54384	Mm.294871	NM_019433	ENSMUSG00000039431	Mtmr7	-	myotubularin related protein 7	protein-coding
tal1_peak_2396	chrX	85871703	85871738	+	78	NA	intron (NM_001163539, intron 1 of 1)	PB1D10|SINE|Alu	1447	NM_001163539	71398	Mm.185296	NM_001163539	ENSMUSG00000025058	5430427O19Rik	-	RIKEN cDNA 5430427O19 gene	protein-coding
tal1_peak_423	chr12	104999994	105000031	+	78	NA	intron (NM_172500, intron 1 of 16)	ID_B1|SINE|B4	-1335	NM_001042699	212073	Mm.212688	NM_172500	ENSMUSG00000054150	Syne3	KASH3|nesprin-3	spectrin repeat containing, nuclear envelope family member 3	protein-coding
tal1_peak_327	chr11	105309905	105309939	+	78	NA	intron (NM_008626, intron 1 of 29)	B1_Mus1|SINE|Alu	17276	NM_008626	17534	Mm.235616	NM_008626	ENSMUSG00000020695	Mrc2	Endo180|mKIAA0709|uPARAP	mannose receptor, C type 2	protein-coding
tal1_peak_243	chr11	40480106	40480140	+	78	NA	Intergenic	L1VL4|LINE|L1	212559	NM_134017	108645	Mm.293771	NM_134017	ENSMUSG00000042032	Mat2b	1110064C04Rik|2410018D16Rik|AI182287|AU022853|MAT-II|MATIIbeta|TGR	methionine adenosyltransferase II, beta	protein-coding
tal1_peak_267	chr11	68515884	68515917	+	78	NA	intron (NM_001004435, intron 1 of 19)	PB1|SINE|Alu	12881	NR_126153	104709	Mm.234573	NM_001004435	ENSMUSG00000046207	Pik3r6	BB220380|p84|p84 PIKAP|p87(PIKAP)|p87PIKAP	phosphoinositide-3-kinase regulatory subunit 5	protein-coding
tal1_peak_998	chr19	55262141	55262174	+	78	NA	intron (NM_027976, intron 1 of 21)	PB1|SINE|Alu	8788	NM_027976	433256	Mm.292056	NM_027976	ENSMUSG00000024981	Acsl5	1700030F05Rik|ACS2|ACS5|Facl5	acyl-CoA synthetase long-chain family member 5	protein-coding
tal1_peak_1014	chr2	6007757	6007791	+	78	NA	intron (NM_001081132, intron 9 of 21)	B1_Mus2|SINE|Alu	56305	NM_001081132	326622	Mm.31102	NM_001081132	ENSMUSG00000043241	Upf2	-	UPF2 regulator of nonsense transcripts homolog (yeast)	protein-coding
tal1_peak_91	chr1	151464113	151464146	+	78	NA	Intergenic	B1_Mus1|SINE|Alu	21736	NR_106150	102466847		NR_106150	ENSMUSG00000106406	Mir7682	mmu-mir-7682	microRNA 7682	ncRNA
tal1_peak_165	chr10	50155046	50155081	+	78	NA	Intergenic	Lx2|LINE|L1	-366297	NM_010349	14806	Mm.185993	NM_010349	ENSMUSG00000056073	Grik2	AW124492|C130030K03Rik|GluK2|Glur-6|Glur6|Glurbeta2	glutamate receptor, ionotropic, kainate 2 (beta 2)	protein-coding
tal1_peak_1348	chr4	131752593	131752626	+	78	NA	Intergenic	(G)n|Simple_repeat|Simple_repeat	85669	NM_011214	19273	Mm.4860	NM_011214	ENSMUSG00000028909	Ptpru	Ftp-1|PCP-2|PTP|PTP-lambda|PTPlambda|Pcp2|Ptpf|Ptprl|R-PTP-U|R-PTP-psi|RPTPlambda	protein tyrosine phosphatase, receptor type, U	protein-coding
tal1_peak_1775	chr8	25592858	25592891	+	78	NA	intron (NM_001364070, intron 3 of 10)	PB1|SINE|Alu	4613	NM_173012	270035	Mm.268349	NM_173012	ENSMUSG00000037363	Letm2	6030453H13|D030041N04Rik	leucine zipper-EF-hand containing transmembrane protein 2	protein-coding
tal1_peak_303	chr11	89138370	89138403	+	78	NA	Intergenic	ID_B1|SINE|B4	64545	NM_001033266	217071	Mm.342127	NM_001033266	ENSMUSG00000072553	Gm525	-	predicted gene 525	protein-coding
tal1_peak_1655	chr7	44656343	44656380	+	78	NA	intron (NM_028021, intron 4 of 39)	B1F|SINE|Alu	9142	NM_028021	71960	Mm.158289	NM_028021	ENSMUSG00000030739	Myh14	2400004E04Rik|II-C|NHMCII|NMHC II-C	myosin, heavy polypeptide 14	protein-coding
tal1_peak_1604	chr6	122825114	122825150	+	78	NA	intron (NM_021899, intron 1 of 10)	PB1|SINE|Alu	4948	NM_021899	60611	Mm.87142	NM_021899	ENSMUSG00000003154	Foxj2	Fhx	forkhead box J2	protein-coding
tal1_peak_1013	chr2	5968057	5968090	+	78	NA	intron (NM_001081132, intron 3 of 21)	PB1D9|SINE|Alu	16604	NM_001081132	326622	Mm.31102	NM_001081132	ENSMUSG00000043241	Upf2	-	UPF2 regulator of nonsense transcripts homolog (yeast)	protein-coding
tal1_peak_644	chr14	109403556	109403589	+	78	NA	Intergenic	L1Md_F2|LINE|L1	-489333	NM_199065	76965	Mm.257268	NM_199065	ENSMUSG00000075478	Slitrk1	3200001I04Rik	SLIT and NTRK-like family, member 1	protein-coding
tal1_peak_27	chr1	40234151	40234184	+	78	NA	intron (NM_008362, intron 1 of 10)	MLT1A0|LTR|ERVL-MaLR	9087	NM_008362	16177	Mm.896	NM_008362	ENSMUSG00000026072	Il1r1	CD121a|CD121b|IL-1R1|IL-iR|Il1r-1	interleukin 1 receptor, type I	protein-coding
tal1_peak_1669	chr7	59624441	59624474	+	78	NA	intron (NR_146211, intron 89 of 171)	B1_Mus2|SINE|Alu	51622	NR_033778	64244		NR_033778	ENSMUSG00000096475	Snord116l1	Pwcr1l1	small nucleolar RNA, C/D box 116-like 1	snoRNA
tal1_peak_2041	chr9	25148397	25148431	+	78	NA	intron (NM_020586, intron 1 of 7)	PB1|SINE|Alu	3367	NM_020586	80517	Mm.142843	NM_020586	ENSMUSG00000008429	Herpud2	5031400M07Rik|AB041580	HERPUD family member 2	protein-coding
tal1_peak_2414	chrX	121627910	121627943	+	78	NA	Intergenic	Lx3_Mus|LINE|L1	769459	NM_138742	54561	Mm.490573	NM_138742	ENSMUSG00000055733	Nap1l3	MB20	nucleosome assembly protein 1-like 3	protein-coding
tal1_peak_919	chr18	39299115	39299162	+	78	NA	intron (NM_175164, intron 19 of 22)	intron (NM_175164, intron 19 of 22)	190141	NM_008173	14815	Mm.129481	NM_008173	ENSMUSG00000024431	Nr3c1	GR|Grl-1|Grl1	nuclear receptor subfamily 3, group C, member 1	protein-coding
tal1_peak_1640	chr7	16048122	16048156	+	78	NA	Intergenic	(A)n|Simple_repeat|Simple_repeat	-23706	NM_001099277	666528	Mm.290718	NM_001099277	ENSMUSG00000078796	Zfp541	EG666528|Znf541	zinc finger protein 541	protein-coding
tal1_peak_1199	chr3	54674165	54674199	+	78	NA	Intergenic	B1F|SINE|Alu	-18633	NR_152186	56790	Mm.486375	NM_019995	ENSMUSG00000027751	Supt20	AA667204|AI450544|D3Ertd300e|Fam48a|Supt20h|p38IP	suppressor of Ty 20	protein-coding
tal1_peak_970	chr19	37033552	37033585	+	78	NA	intron (NM_198300, intron 10 of 10)	PB1D11|SINE|Alu	107489	NM_001080706	107182	Mm.295062	NM_001080706	ENSMUSG00000040565	Btaf1	AI414500|AI447930|E430027O22Rik|TAF170	B-TFIID TATA-box binding protein associated factor 1	protein-coding
tal1_peak_597	chr14	34333887	34333920	+	78	NA	intron (NM_008133, intron 5 of 12)	B1F1|SINE|Alu	-11152	NR_027380	100041231	Mm.425871	NR_027380		Gm3219	-	B-cell CLL/lymphoma 7C pseudogene	pseudo
tal1_peak_250	chr11	50508982	50509015	+	78	NA	Intergenic	PB1|SINE|Alu	-77873	NM_172557	216724	Mm.390400	NM_172557	ENSMUSG00000020375	Rufy1	3000002E04Rik|Rabip4|ZFYVE12	RUN and FYVE domain containing 1	protein-coding
tal1_peak_2353	chrX	40414963	40414996	+	78	NA	Intergenic	Lx4B|LINE|L1	-551375	NM_001191032	100504400	Mm.373409	NM_001191032	ENSMUSG00000095240	Cypt14	-	cysteine-rich perinuclear theca 14	protein-coding
tal1_peak_1590	chr6	105424016	105424051	+	78	NA	Intergenic	L1Md_A|LINE|L1	68635	NR_040297	100503536	Mm.366960	NR_040297	ENSMUSG00000108237	Gm19757	-	predicted gene, 19757	ncRNA
tal1_peak_2391	chrX	73741090	73741125	+	78	NA	Intergenic	B1F|SINE|Alu	-15996	NM_019587	140571	Mm.275600	NM_019587	ENSMUSG00000031385	Plxnb3	AI451018|Plxn6	plexin B3	protein-coding
tal1_peak_245	chr11	47067103	47067136	+	78	NA	intron (NM_011891, intron 6 of 7)	PB1D10|SINE|Alu	256320	NM_178759	276891	Mm.69002	NM_178759	ENSMUSG00000055546	Timd4	B430010N18Rik|TIM-4|Tim4	T cell immunoglobulin and mucin domain containing 4	protein-coding
tal1_peak_1	chr1	3764929	3764962	+	78	NA	Intergenic	L1M3|LINE|L1	-93447	NM_001011874	497097	Mm.454496	NM_001011874	ENSMUSG00000051951	Xkr4	AY534250|Gm210|XRG4|mKIAA1889	X-linked Kx blood group related 4	protein-coding
tal1_peak_636	chr14	88789076	88789110	+	78	NA	Intergenic	L1Md_F2|LINE|L1	-317697	NM_178685	219257	Mm.128861	NM_178685	ENSMUSG00000050505	Pcdh20	C630015B17Rik|Pcdh13	protocadherin 20	protein-coding
tal1_peak_1516	chr5	150997897	150997930	+	78	NA	Intergenic	B1F|SINE|Alu	45306	NM_013823	16591	Mm.6500	NM_013823	ENSMUSG00000058488	Kl	alpha-kl	klotho	protein-coding
tal1_peak_1529	chr6	29064582	29064616	+	78	NA	intron (NM_008493, intron 1 of 2)	L1MA4|LINE|L1	4378	NM_008493	16846	Mm.277072	NM_008493	ENSMUSG00000059201	Lep	ob|obese	leptin	protein-coding
tal1_peak_776	chr16	83425212	83425246	+	78	NA	Intergenic	B1_Mus1|SINE|Alu	-945914	NR_040567	75247	Mm.417813	NR_040567	ENSMUSG00000116907	4930553E22Rik	-	RIKEN cDNA 4930553E22 gene	ncRNA
tal1_peak_1211	chr3	76384298	76384333	+	78	NA	intron (NM_178673, intron 4 of 15)	L1_Mus3|LINE|L1	308732	NM_001253719	213262	Mm.379337	NM_178673	ENSMUSG00000034098	Fstl5	9130207J01Rik	follistatin-like 5	protein-coding
tal1_peak_531	chr13	107121706	107121742	+	78	NA	Intergenic	B4A|SINE|B4	99154	NR_015471	100040322	Mm.133867	NR_015471	ENSMUSG00000071181	3830408C21Rik	-	RIKEN cDNA 3830408C21 gene	ncRNA
tal1_peak_944	chr18	77816507	77816540	+	78	NA	intron (NM_013831, intron 1 of 14)	PB1D10|SINE|Alu	-20133	NR_152167	619308	Mm.490456	NM_001033812		F830208F22Rik	-	RIKEN cDNA F830208F22 gene	ncRNA
tal1_peak_606	chr14	47534963	47534996	+	78	NA	Intergenic	PB1D11|SINE|Alu	33455	NM_172599	100504663	Mm.287279	NM_172599	ENSMUSG00000037526	Atg14	4832427M01|Atg14L|D14Ertd114e|D14Ertd436e	autophagy related 14	protein-coding
tal1_peak_2	chr1	5179152	5179186	+	78	NA	Intergenic	Lx2B2|LINE|L1	96083	NM_001310442	108664	Mm.27082	NM_133826	ENSMUSG00000033793	Atp6v1h	0710001F19Rik|AU022349|CGI-11|SFD|SFDalpha|SFDbeta|VMA13	ATPase, H+ transporting, lysosomal V1 subunit H	protein-coding
tal1_peak_1591	chr6	108612577	108612613	+	78	NA	intron (NR_040757, intron 3 of 4)	B1F|SINE|Alu	10572	NR_040757	75394	Mm.395061	NR_040757	ENSMUSG00000087341	0610040F04Rik	-	RIKEN cDNA 0610040F04 gene	ncRNA
tal1_peak_260	chr11	57632214	57632251	+	78	NA	intron (NR_153850, intron 2 of 3)	B1F|SINE|Alu	-13210	NM_134189	171212	Mm.271670	NM_134189	ENSMUSG00000020520	Galnt10	AU018154|C330012K04Rik|GalNAc-T10|GalNAc-T9|Galnt9|ppGaNTase	polypeptide N-acetylgalactosaminyltransferase 10	protein-coding
tal1_peak_1581	chr6	95621176	95621211	+	78	NA	intron (NM_011507, intron 2 of 10)	intron (NM_011507, intron 2 of 10)	71689	NM_001326558	20917	Mm.371585	NM_011507	ENSMUSG00000061838	Suclg2	AF171077|AW556404|D6Wsu120e|G-SCS|GTPSCS|SCS-betaG	succinate-Coenzyme A ligase, GDP-forming, beta subunit	protein-coding
tal1_peak_1047	chr2	43922175	43922208	+	78	NA	intron (NM_001364029, intron 5 of 12)	B1_Mus1|SINE|Alu	134836	NM_001364029	76117	Mm.217350	NM_153820	ENSMUSG00000049744	Arhgap15	5830480G12Rik	Rho GTPase activating protein 15	protein-coding
tal1_peak_2430	chrX	152265394	152265428	+	78	NA	intron (NM_013668, intron 14 of 25)	B1_Mm|SINE|Alu	32184	NM_013668	20591	Mm.142655	NM_013668	ENSMUSG00000025332	Kdm5c	D930009K15Rik|Jarid1c|Smcx|mKIAA0234	lysine (K)-specific demethylase 5C	protein-coding
tal1_peak_1488	chr5	136593434	136593471	+	78	NA	Intergenic	B4A|SINE|B4	-25962	NM_001291238	13047	Mm.320317	NM_009986	ENSMUSG00000029705	Cux1	CDP|Cutl1|Cux|Cux-1	cut-like homeobox 1	protein-coding
tal1_peak_1531	chr6	29969834	29969867	+	78	NA	Intergenic	B1F|SINE|Alu	-15479	NR_040263	76419	Mm.84522	NR_040263	ENSMUSG00000045709	Smkr-ps	1700023L04Rik	smal lysine rich protein 1, pseudogene	ncRNA
tal1_peak_201	chr10	95366077	95366114	+	78	NA	Intergenic	B1_Mus1|SINE|Alu	29819	NR_045337	69629	Mm.250542	NR_045337	ENSMUSG00000100550	2310039L15Rik	A53T-syn|G2-3|PrPsynA53T|Tg(Prnp-SNCA*A53T)23Mkle	RIKEN cDNA 2310039L15 gene	ncRNA
tal1_peak_1762	chr8	13380275	13380308	+	78	NA	Intergenic	B1_Mm|SINE|Alu	16487	NM_009724	11945	Mm.154039	NM_009724	ENSMUSG00000031449	Atp4b	AV080843	ATPase, H+/K+ exchanging, beta polypeptide	protein-coding
