PeakID (cmd=annotatePeaks.pl lmo2_specific.bed mm10 -annStats lmo2_peaks_annstats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
lmo2_peak_1878	chrX	48432882	48433052	+	72	NA	intron (NM_019680, intron 1 of 8)	intron (NM_019680, intron 1 of 8)	30165	NM_019680	56501	Mm.36808	NM_019680	ENSMUSG00000031103	Elf4	AV314029|BC042423|Gm9907|Mef	E74-like factor 4 (ets domain transcription factor)	protein-coding
lmo2_peak_570	chr14	119832958	119833131	+	72	NA	intron (NM_015820, intron 1 of 1)	intron (NM_015820, intron 1 of 1)	83817	NR_045621	75432	Mm.443277	NR_045621	ENSMUSG00000100274	1700006F04Rik	-	RIKEN cDNA 1700006F04 gene	ncRNA
lmo2_peak_122	chr10	21936669	21937086	+	72	NA	intron (NM_001161845, intron 2 of 13)	intron (NM_001161845, intron 2 of 13)	-41795	NM_001161847	20393	Mm.28405	NM_011361	ENSMUSG00000019970	Sgk1	Sgk	serum/glucocorticoid regulated kinase 1	protein-coding
lmo2_peak_1545	chr7	112685387	112685533	+	72	NA	intron (NM_001166584, intron 1 of 13)	intron (NM_001166584, intron 1 of 13)	6104	NM_009346	21676	Mm.24685	NM_009346	ENSMUSG00000055320	Tead1	2610024B07Rik|B230114H05Rik|Gtrgeo5|TEAD-1|TEF-1|Tcf13|mTEF-1	TEA domain family member 1	protein-coding
lmo2_peak_1055	chr2	168050335	168050531	+	72	NA	Intergenic	CpG	-30571	NM_021409	58220	Mm.292834	NM_021409	ENSMUSG00000044641	Pard6b	AV025615|Par6b	par-6 family cell polarity regulator beta	protein-coding
lmo2_peak_582	chr15	31542166	31542309	+	72	NA	Intergenic	Intergenic	-11200	NM_172606	223455	Mm.272185	NM_172606	ENSMUSG00000039100	March6	3830408G03|F830029L24Rik|mKIAA0597	membrane-associated ring finger (C3HC4) 6	protein-coding
lmo2_peak_1194	chr4	89651856	89652007	+	72	NA	Intergenic	Intergenic	-36267	NM_175647	242523	Mm.130167	NM_175647	ENSMUSG00000043753	Dmrta1	Dmrt4	doublesex and mab-3 related transcription factor like family A1	protein-coding
lmo2_peak_211	chr11	11835423	11835570	+	72	NA	intron (NM_001190448, intron 9 of 14)	intron (NM_001190448, intron 9 of 14)	-26534	NM_021891	60530	Mm.236114	NM_021891	ENSMUSG00000035455	Fignl1	-	fidgetin-like 1	protein-coding
lmo2_peak_1840	chr9	96828270	96828420	+	72	NA	intron (NM_001289645, intron 6 of 6)	intron (NM_001289645, intron 6 of 6)	61129	NM_001289646	235534	Mm.233031	NM_153420	ENSMUSG00000043587	Pxylp1	9430094M07Rik|Acpl2|BB177120|C130099A20Rik	2-phosphoxylose phosphatase 1	protein-coding
lmo2_peak_654	chr16	6889440	6889633	+	72	NA	intron (NM_001359725, intron 5 of 16)	intron (NM_001359725, intron 5 of 16)	-149834	NM_001359726	268859	Mm.370334	NM_021477	ENSMUSG00000008658	Rbfox1	A2bp|A2bp1|Hrnbp1|fox-1	RNA binding protein, fox-1 homolog (C. elegans) 1	protein-coding
lmo2_peak_309	chr11	106135262	106135409	+	72	NA	intron (NM_011947, intron 6 of 15)	intron (NM_011947, intron 6 of 15)	24592	NM_001356459	67803	Mm.21687	NM_172397	ENSMUSG00000040699	Limd2	0610025L06Rik|AI413966	LIM domain containing 2	protein-coding
lmo2_peak_798	chr18	3666397	3666893	+	72	NA	Intergenic	Intergenic	158688	NM_026505	68010	Mm.284863	NM_026505	ENSMUSG00000024232	Bambi	2610003H06Rik	BMP and activin membrane-bound inhibitor	protein-coding
lmo2_peak_1767	chr9	32314062	32314312	+	72	NA	TTS (NM_010605)	TTS (NM_010605)	30157	NM_010605	16521	Mm.69472	NM_010605	ENSMUSG00000032034	Kcnj5	CIR|GIRK4|KATP-1|Kir3.4	potassium inwardly-rectifying channel, subfamily J, member 5	protein-coding
lmo2_peak_1344	chr5	118504974	118505189	+	72	NA	Intergenic	ORR1F|LTR|ERVL-MaLR	-55638	NM_001347445	76199	Mm.206238	NM_172424	ENSMUSG00000018076	Med13l	2210413I17Rik|6330591G05Rik|9030618F05Rik|Thrap2|Trap240L|mKIAA1025	mediator complex subunit 13-like	protein-coding
lmo2_peak_1576	chr7	142540202	142540466	+	72	NA	intron (NM_011288, intron 4 of 4)	Eulor2B|DNA?|DNA?	7302	NM_011288	19935	Mm.12144	NM_011288	ENSMUSG00000037772	Mrpl23	L23mrp|Rpl23|Rpl23l	mitochondrial ribosomal protein L23	protein-coding
lmo2_peak_1808	chr9	64060277	64060547	+	72	NA	Intergenic	CpG	10583	NR_040713	68697	Mm.491042	NR_040713	ENSMUSG00000097036	1110036E04Rik	-	RIKEN cDNA 1110036E04 gene	ncRNA
lmo2_peak_587	chr15	38301822	38301985	+	72	NA	Intergenic	Intergenic	-1192	NM_001289471	21847	Mm.4292	NM_013692	ENSMUSG00000037465	Klf10	AI115143|EGR[a]|Egral|Gdnfif|TIEG-1|Tieg|Tieg1|mGIF	Kruppel-like factor 10	protein-coding
lmo2_peak_652	chr15	103382865	103383021	+	72	NA	Intergenic	Intergenic	-16152	NM_001314041	16402	Mm.16234	NM_010577	ENSMUSG00000000555	Itga5	Cd49e|Fnra|VLA5	integrin alpha 5 (fibronectin receptor alpha)	protein-coding
lmo2_peak_1614	chr8	26669557	26669844	+	72	NA	Intergenic	Intergenic	154723	NR_045904	72316	Mm.490534	NR_045904	ENSMUSG00000100335	2310008N11Rik	-	RIKEN cDNA 2310008N11 gene	ncRNA
lmo2_peak_1128	chr3	123431995	123432171	+	72	NA	Intergenic	Intergenic	-14830	NM_008939	19142	Mm.9431	NM_008939	ENSMUSG00000027978	Prss12	Bssp-3|motopsin	protease, serine 12 neurotrypsin (motopsin)	protein-coding
lmo2_peak_1459	chr6	112397689	112397867	+	72	NA	Intergenic	MLT1A1|LTR|ERVL-MaLR	-9755	NM_001356365	243612	Mm.122653	NM_175525	ENSMUSG00000034387	Ssu2	D630042P16Rik|Fls485|Ssuh2	ssu-2 homolog (C. elegans)	protein-coding
lmo2_peak_595	chr15	56685375	56685541	+	72	NA	intron (NM_008216, intron 1 of 3)	intron (NM_008216, intron 1 of 3)	-4486	NR_002874	594843	Mm.484850	NR_002874	ENSMUSG00000086541	Has2os	EG594843|Has2as|Hasnt	hyaluronan synthase 2, opposite strand	ncRNA
lmo2_peak_863	chr19	24794461	24794728	+	72	NA	intron (NM_175013, intron 6 of 10)	intron (NM_175013, intron 6 of 10)	67248	NM_175013	226041	Mm.105222	NM_175013	ENSMUSG00000041731	Pgm5	4833423B07|9530034F03Rik|D830025G17|aciculin	phosphoglucomutase 5	protein-coding
lmo2_peak_1114	chr3	102165928	102166094	+	72	NA	intron (NM_177545, intron 5 of 7)	intron (NM_177545, intron 5 of 7)	38682	NM_177545	229658	Mm.118004	NM_177545	ENSMUSG00000027860	Vangl1	Kitenin|Lpp2|Stb2|Stbm	VANGL planar cell polarity 1	protein-coding
lmo2_peak_632	chr15	86801388	86801576	+	72	NA	Intergenic	MT2A|LTR|ERVL	523807	NM_001358062	223754	Mm.28904	NM_145476	ENSMUSG00000051864	Tbc1d22a	BC023106|D15Ertd781e	TBC1 domain family, member 22a	protein-coding
lmo2_peak_1818	chr9	67875016	67875174	+	72	NA	intron (NM_177184, intron 9 of 84)	intron (NM_177184, intron 9 of 84)	34744	NM_177184	320528	Mm.241454	NM_177184	ENSMUSG00000035284	Vps13c	AI552542|AV026040|C230055H22Rik|W51662|chorein	vacuolar protein sorting 13C	protein-coding
lmo2_peak_1911	chrX	112680731	112680980	+	72	NA	intron (NM_181579, intron 3 of 16)	RLTR18B|LTR|ERVK	17796	NM_181579	69693	Mm.34964	NM_181579	ENSMUSG00000034607	Pof1b	2310066B14Rik	premature ovarian failure 1B	protein-coding
lmo2_peak_99	chr1	188387914	188388084	+	72	NA	intron (NM_021408, intron 10 of 70)	intron (NM_021408, intron 10 of 70)	125161	NM_021408	22283	Mm.331238	NM_021408	ENSMUSG00000026609	Ush2a	A930011D15Rik|A930037M10Rik|Gm676|Gm983|Mush2a|Ushrn	usherin	protein-coding
lmo2_peak_1390	chr6	4733202	4733412	+	72	NA	intron (NM_001130188, intron 1 of 11)	intron (NM_001130188, intron 1 of 11)	13897	NM_001130190	20392	Mm.8739	NM_011360	ENSMUSG00000004631	Sgce	e-SG	sarcoglycan, epsilon	protein-coding
lmo2_peak_1417	chr6	47338322	47338473	+	72	NA	Intergenic	Intergenic	94001	NM_025771	66797	Mm.440084	NM_025771	ENSMUSG00000039419	Cntnap2	5430425M22Rik|Caspr2|mKIAA0868	contactin associated protein-like 2	protein-coding
lmo2_peak_1428	chr6	60828083	60828290	+	72	NA	intron (NM_009221, intron 1 of 5)	intron (NM_009221, intron 1 of 5)	818	NM_001042451	20617	Mm.17484	NM_009221	ENSMUSG00000025889	Snca	NACP|alpha-Syn|alphaSYN	synuclein, alpha	protein-coding
lmo2_peak_1613	chr8	25620575	25620739	+	70	NA	intron (NM_001001735, intron 1 of 9)	L2b|LINE|L2	18373	NM_001001735	234135	Mm.217337	NM_001001735	ENSMUSG00000054823	Nsd3	6720429E03|A530023P05|AI528490|WHISTLE|Whsc1l1	nuclear receptor binding SET domain protein 3	protein-coding
lmo2_peak_1676	chr8	86920703	86921128	+	70	NA	Intergenic	Intergenic	-35657	NM_030563	80750	Mm.25117	NM_030563	ENSMUSG00000031652	N4bp1	AI481586|C81621	NEDD4 binding protein 1	protein-coding
lmo2_peak_1596	chr8	11092497	11092640	+	69	NA	Intergenic	Intergenic	-83639	NM_001081212	384783	Mm.407207	NM_001081212	ENSMUSG00000038894	Irs2	Irs-2	insulin receptor substrate 2	protein-coding
lmo2_peak_1669	chr8	84699939	84700132	+	68	NA	TTS (NM_198020)	TTS (NM_198020)	-1422	NM_008535	17095	Mm.4925	NM_008535	ENSMUSG00000034041	Lyl1	Lyl-1|bHLHa18	lymphoblastomic leukemia 1	protein-coding
lmo2_peak_161	chr10	80033063	80033376	+	68	NA	intron (NR_038088, intron 1 of 4)	intron (NR_038088, intron 1 of 4)	6440	NM_025554	66420	Mm.18579	NM_025554	ENSMUSG00000004667	Polr2e	2410021N14Rik|25kDa|AW208866|RPB5|XAP4	polymerase (RNA) II (DNA directed) polypeptide E	protein-coding
lmo2_peak_504	chr13	118758891	118759214	+	68	NA	intron (NM_008002, intron 1 of 2)	intron (NM_008002, intron 1 of 2)	44353	NM_008002	14165	Mm.317323	NM_008002	ENSMUSG00000021732	Fgf10	AEY17|BB213776|Fgf-10|Gsfaey17	fibroblast growth factor 10	protein-coding
lmo2_peak_1030	chr2	141373526	141373763	+	68	NA	intron (NM_001013802, intron 5 of 18)	intron (NM_001013802, intron 5 of 18)	-702168	NM_178382	71436	Mm.426781	NM_178382	ENSMUSG00000051379	Flrt3	5530600M07Rik|C430047I10Rik|mKIAA1469	fibronectin leucine rich transmembrane protein 3	protein-coding
lmo2_peak_1662	chr8	79375791	79375952	+	68	NA	intron (NM_008539, intron 1 of 6)	intron (NM_008539, intron 1 of 6)	23557	NM_008539	17125	Mm.223717	NM_008539	ENSMUSG00000031681	Smad1	AI528653|Mad1|Madh1|Madr1|Mlp1|MusMLP|dwf-A|mMad1	SMAD family member 1	protein-coding
lmo2_peak_1741	chr8	125460473	125460720	+	68	NA	intron (NM_001357372, intron 10 of 21)	intron (NM_001357372, intron 10 of 21)	32237	NM_001081337	244668	Mm.271668	NM_001081337	ENSMUSG00000001995	Sipa1l2	BC058408|mKIAA1389	signal-induced proliferation-associated 1 like 2	protein-coding
lmo2_peak_79	chr1	165818598	165818830	+	68	NA	intron (NR_103716, intron 1 of 8)	intron (NR_103716, intron 1 of 8)	30033	NR_103716	12503	Mm.217308	NM_031162	ENSMUSG00000005763	Cd247	4930549J05Rik|A430104F18Rik|AW552088|Cd3|Cd3-eta|Cd3-zeta|Cd3h|Cd3z|Cd3zeta|T3z|Tcrk|Tcrz	CD247 antigen	protein-coding
lmo2_peak_107	chr10	3237109	3237371	+	68	NA	Intergenic	Intergenic	30531	NM_001204916	670558	Mm.398582	NM_001204916	ENSMUSG00000091618	H60c	4632413I24Rik|Gm9491	histocompatibility 60c	protein-coding
lmo2_peak_1589	chr8	10665934	10666150	+	68	NA	Intergenic	Intergenic	216412	NR_040705	320014	Mm.403203	NR_040705	ENSMUSG00000109473	B930025P03Rik	-	RIKEN cDNA B930025P03 gene	ncRNA
lmo2_peak_1616	chr8	27088750	27089043	+	68	NA	intron (NM_054044, intron 1 of 18)	intron (NM_054044, intron 1 of 18)	3055	NM_054044	78560	Mm.87046	NM_054044	ENSMUSG00000031486	Adgra2	8430414O08Rik|9530074E10Rik|Gpr124|Tem5|mKIAA1531	adhesion G protein-coupled receptor A2	protein-coding
lmo2_peak_445	chr13	50869251	50869404	+	68	NA	Intergenic	ERVB4_1B-I_MM-int|LTR|ERVK	-104079	NR_045364	71654	Mm.427318	NR_045364	ENSMUSG00000113652	4930518P08Rik	-	RIKEN cDNA 4930518P08 gene	ncRNA
lmo2_peak_1435	chr6	72926896	72927238	+	67	NA	Intergenic	Intergenic	-27088	NM_019715	74287	Mm.29194	NM_019715	ENSMUSG00000055239	Kcmf1	1700094M07Rik|Debt91|Pmcf	potassium channel modulatory factor 1	protein-coding
lmo2_peak_478	chr13	95634645	95634788	+	67	NA	intron (NM_027711, intron 32 of 35)	intron (NM_027711, intron 32 of 35)	-16250	NM_010169	14062	Mm.24816	NM_010169	ENSMUSG00000048376	F2r	AI482343|Cf2r|Par1|ThrR	coagulation factor II (thrombin) receptor	protein-coding
lmo2_peak_1716	chr8	121176356	121176506	+	67	NA	Intergenic	MLT1J|LTR|ERVL-MaLR	48746	NM_008024	14241	Mm.5111	NM_008024	ENSMUSG00000097084	Foxl1	FREAC7|Fkh6|fkh-6	forkhead box L1	protein-coding
lmo2_peak_663	chr16	18460099	18460350	+	66	NA	intron (NM_013711, intron 11 of 17)	intron (NM_013711, intron 11 of 17)	-33508	NM_007744	12846	Mm.100940	NM_007744	ENSMUSG00000000326	Comt	Comt1|D16Wsu103e|D330014B15Rik	catechol-O-methyltransferase	protein-coding
lmo2_peak_846	chr18	81047359	81047543	+	66	NA	Intergenic	Intergenic	-60430	NM_001369133	20689	Mm.215917	NM_178280	ENSMUSG00000024565	Sall3	B130022O04Rik|Msal|Msal-1|Sal|Salt|Spalt	spalt like transcription factor 3	protein-coding
lmo2_peak_1787	chr9	57278194	57278563	+	64	NA	Intergenic	Intergenic	-15779	NM_028820	74211	Mm.428905	NM_028820	ENSMUSG00000032300	1700017B05Rik	AA682102|D9Ertd278e	RIKEN cDNA 1700017B05 gene	protein-coding
lmo2_peak_201	chr10	122855203	122855496	+	64	NA	intron (NM_176919, intron 4 of 8)	intron (NM_176919, intron 4 of 8)	130375	NR_029527	387251		NR_029527	ENSMUSG00000065406	Mirlet7i	Mirnlet7i|let-7i|mmu-let-7i	microRNA let7i	ncRNA
lmo2_peak_98	chr1	185454476	185454668	+	64	NA	promoter-TSS (NM_001033286)	promoter-TSS (NM_001033286)	-276	NM_001033286	226781	Mm.227117	NM_001033286	ENSMUSG00000026614	Slc30a10	E130106K10Rik|Gm212	solute carrier family 30, member 10	protein-coding
lmo2_peak_10	chr1	39205751	39205952	+	64	NA	intron (NM_008719, intron 1 of 20)	intron (NM_008719, intron 1 of 20)	11579	NM_008719	18143	Mm.2380	NM_008719	ENSMUSG00000026077	Npas2	MOP4|bHLHe9	neuronal PAS domain protein 2	protein-coding
lmo2_peak_25	chr1	72009574	72009725	+	64	NA	Intergenic	Intergenic	-4454	NR_040454	71134	Mm.370574	NR_040454	ENSMUSG00000101848	4933417E11Rik	-	RIKEN cDNA 4933417E11 gene	ncRNA
lmo2_peak_1880	chrX	48433586	48433879	+	64	NA	intron (NM_019680, intron 1 of 8)	intron (NM_019680, intron 1 of 8)	29400	NM_019680	56501	Mm.36808	NM_019680	ENSMUSG00000031103	Elf4	AV314029|BC042423|Gm9907|Mef	E74-like factor 4 (ets domain transcription factor)	protein-coding
lmo2_peak_147	chr10	72676681	72676867	+	64	NA	Intergenic	MTD|LTR|ERVL-MaLR	21928	NM_001293683	52696	Mm.62876	NM_025635	ENSMUSG00000019923	Zwint	2010007E07Rik|2600001N01Rik|D10Ertd749e|Zwint-1	ZW10 interactor	protein-coding
lmo2_peak_1217	chr4	115732376	115732533	+	64	NA	Intergenic	Intergenic	-5316	NM_001368627	230648	Mm.283565	NM_172698	ENSMUSG00000034210	Efcab14	4732418C07Rik	EF-hand calcium binding domain 14	protein-coding
lmo2_peak_1357	chr5	124929499	124929723	+	64	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	66906	NM_001081750	269704	Mm.138617	NM_001081750	ENSMUSG00000079215	Zfp664	AW060232|D930038J03Rik|ZFOC1|Znf664	zinc finger protein 664	protein-coding
lmo2_peak_133	chr10	40131844	40131998	+	64	NA	intron (NM_001114332, intron 1 of 5)	B3|SINE|B2	10333	NM_001114332	72472	Mm.186778	NM_028247	ENSMUSG00000019838	Slc16a10	2610103N14Rik|9830169E08|Mct10|PRO0813|TAT1	solute carrier family 16 (monocarboxylic acid transporters), member 10	protein-coding
lmo2_peak_174	chr10	93124345	93124567	+	64	NA	Intergenic	Intergenic	-36420	NM_146239	237459	Mm.217404	NM_146239	ENSMUSG00000020015	Cdk17	6430598J10Rik|Pctk2	cyclin-dependent kinase 17	protein-coding
lmo2_peak_1294	chr5	29378854	29379081	+	64	NA	promoter-TSS (NM_020295)	promoter-TSS (NM_020295)	-577	NM_020295	56873	Mm.41572	NM_020295	ENSMUSG00000010721	Lmbr1	1110048D14Rik|AU017641	limb region 1	protein-coding
lmo2_peak_334	chr12	10737772	10737920	+	64	NA	Intergenic	RLTR1D|LTR|ERV1	291458	NR_110487	328061	Mm.56067	NR_110487	ENSMUSG00000112792	Gm38407	4931412M21	predicted gene, 38407	ncRNA
lmo2_peak_1452	chr6	97349957	97350113	+	64	NA	intron (NM_001346639, intron 7 of 22)	intron (NM_001346639, intron 7 of 22)	-97278	NM_001081157	320502	Mm.68163	NM_001081157	ENSMUSG00000044086	Lmod3	5430424A14Rik	leiomodin 3 (fetal)	protein-coding
lmo2_peak_1405	chr6	35254640	35254802	+	64	NA	intron (NR_027875, intron 1 of 2)	intron (NR_027875, intron 1 of 2)	1989	NR_027875	67705	Mm.228046	NR_015608	ENSMUSG00000073155	1810058I24Rik	AI414869|AI848234	RIKEN cDNA 1810058I24 gene	ncRNA
lmo2_peak_1292	chr5	25030315	25030620	+	64	NA	intron (NM_145401, intron 1 of 15)	intron (NM_145401, intron 1 of 15)	-34714	NM_001310480	108099	Mm.33649	NM_145401	ENSMUSG00000028944	Prkag2	2410051C13Rik|AAKG|AAKG2|AI854673|H91620p|WPWS	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	protein-coding
lmo2_peak_1552	chr7	120875260	120875502	+	64	NA	intron (NM_001267711, intron 3 of 17)	intron (NM_001267711, intron 3 of 17)	24192	NM_001267711	13631	Mm.25997	NM_007908	ENSMUSG00000035064	Eef2k	C86191|eEF-2K	eukaryotic elongation factor-2 kinase	protein-coding
lmo2_peak_375	chr12	83309133	83309284	+	64	NA	intron (NM_001267625, intron 6 of 10)	intron (NM_001267625, intron 6 of 10)	178528	NM_001267626	70127	Mm.151308	NM_058212	ENSMUSG00000021221	Dpf3	2810403B03Rik|6530402L11Rik|BAF45C|C78788|CERD4|cer-d4	D4, zinc and double PHD fingers, family 3	protein-coding
lmo2_peak_1426	chr6	55766510	55766660	+	64	NA	Intergenic	MTD|LTR|ERVL-MaLR	-70433	NM_001081665	232016	Mm.333084	NM_001081665	ENSMUSG00000037973	Itprid1	Ccdc129|D530004J12Rik|Gm458	ITPR interacting domain containing 1	protein-coding
lmo2_peak_1604	chr8	13699410	13699561	+	64	NA	Intergenic	Intergenic	-6404	NM_001101519	403185	Mm.252143	NM_001101519	ENSMUSG00000090336	Cfap97d2	4932443I19Rik|A230061C02Rik|Gm1106	CFAP97 domain containing 2	protein-coding
lmo2_peak_549	chr14	64046470	64046662	+	64	NA	Intergenic	Intergenic	38844	NM_001081063	71037	Mm.19977	NM_001081063	ENSMUSG00000034623	Prss55	4933401F05Rik	protease, serine 55	protein-coding
lmo2_peak_957	chr2	69563622	69563765	+	64	NA	intron (NM_001081088, intron 1 of 78)	intron (NM_001081088, intron 1 of 78)	22336	NM_001081088	14725	Mm.23847	NM_001081088	ENSMUSG00000027070	Lrp2	AI315343|AW536255|D230004K18Rik|Gp330|Megalin|b2b1625.2Clo	low density lipoprotein receptor-related protein 2	protein-coding
lmo2_peak_1019	chr2	127328420	127328778	+	64	NA	Intergenic	Intergenic	-7560	NM_010090	13537	Mm.4729	NM_010090	ENSMUSG00000027368	Dusp2	PAC1	dual specificity phosphatase 2	protein-coding
lmo2_peak_1529	chr7	98434239	98434384	+	62	NA	Intergenic	Intergenic	-6105	NM_001130693	14918	Mm.389928	NM_001034890	ENSMUSG00000074003	Gucy2d	-	guanylate cyclase 2d	protein-coding
lmo2_peak_481	chr13	95679532	95679834	+	62	NA	intron (NM_027711, intron 17 of 35)	intron (NM_027711, intron 17 of 35)	-17237	NM_010170	14064	Mm.440952	NM_010170	ENSMUSG00000021675	F2rl2	F730031A08|PAR3	coagulation factor II (thrombin) receptor-like 2	protein-coding
lmo2_peak_1205	chr4	104939717	104939860	+	62	NA	intron (NM_001285953, intron 1 of 19)	intron (NM_001285953, intron 1 of 19)	26227	NM_001162980	242594	Mm.65181	NM_001162980	ENSMUSG00000078612	Fyb2	1700024P16Rik|ARAP|C1orf168|Gm620	FYN binding protein 2	protein-coding
lmo2_peak_1351	chr5	120282155	120282305	+	62	NA	Intergenic	B4|SINE|B4	-142967	NR_045793	100503427	Mm.446834	NR_045793	ENSMUSG00000097368	Gm10390	-	predicted gene 10390	ncRNA
lmo2_peak_697	chr16	84698847	84698993	+	61	NA	Intergenic	Intergenic	-14103	NR_132106	100653389	Mm.261808	NR_132106	ENSMUSG00000097418	Mir155hg	Bic|Gm26667	Mir155 host gene (non-protein coding)	ncRNA
lmo2_peak_384	chr12	95641624	95641806	+	61	NA	Intergenic	Intergenic	-50511	NM_201518	399558	Mm.341948	NM_201518	ENSMUSG00000047414	Flrt2	-	fibronectin leucine rich transmembrane protein 2	protein-coding
lmo2_peak_558	chr14	76533230	76533400	+	61	NA	intron (NM_001360048, intron 2 of 2)	intron (NM_001360048, intron 2 of 2)	-12460	NR_045660	75789	Mm.159571	NR_045660	ENSMUSG00000097172	4930444M15Rik	-	RIKEN cDNA 4930444M15 gene	ncRNA
lmo2_peak_524	chr14	29720334	29720489	+	61	NA	intron (NM_009785, intron 2 of 37)	intron (NM_009785, intron 2 of 37)	1453	NM_009785	12294	Mm.386754	NM_009785	ENSMUSG00000021991	Cacna2d3	Cacnad3|alapha2delta3	calcium channel, voltage-dependent, alpha2/delta subunit 3	protein-coding
lmo2_peak_319	chr11	115306244	115306397	+	61	NA	promoter-TSS (NM_172801)	promoter-TSS (NM_172801)	-843	NM_172801	237987	Mm.44542	NM_172801	ENSMUSG00000050201	Otop2	4732464P15	otopetrin 2	protein-coding
lmo2_peak_40	chr1	87960087	87960297	+	61	NA	intron (NM_001033291, intron 19 of 27)	intron (NM_001033291, intron 19 of 27)	48359	NM_001033291	227334	Mm.80484	NM_001033291	ENSMUSG00000005501	Usp40	B230215L03Rik|C730029K03	ubiquitin specific peptidase 40	protein-coding
lmo2_peak_615	chr15	73748126	73748296	+	61	NA	5' UTR (NM_008975, exon 1 of 6)	5' UTR (NM_008975, exon 1 of 6)	185	NM_008975	19245	Mm.390807	NM_008975	ENSMUSG00000059895	Ptp4a3	AV088979|Prl-3|pPtp4a3	protein tyrosine phosphatase 4a3	protein-coding
lmo2_peak_1385	chr5	151023387	151023573	+	61	NA	Intergenic	Intergenic	70873	NM_013823	16591	Mm.6500	NM_013823	ENSMUSG00000058488	Kl	alpha-kl	klotho	protein-coding
lmo2_peak_1354	chr5	124247557	124247710	+	61	NA	intron (NM_011256, intron 1 of 24)	intron (NM_011256, intron 1 of 24)	2127	NM_011256	19679	Mm.44261	NM_011256	ENSMUSG00000029406	Pitpnm2	NIR3|RDGBA2|Rdgb2|mKIAA1457	phosphatidylinositol transfer protein, membrane-associated 2	protein-coding
lmo2_peak_893	chr19	47428498	47428791	+	61	NA	intron (NM_001164717, intron 1 of 13)	intron (NM_001164717, intron 1 of 13)	35767	NM_008018	14218	Mm.127560	NM_008018	ENSMUSG00000053617	Sh3pxd2a	2310014D11Rik|AA589508|AI256723|AI413738|C230050L11|EG329070|Fish|Gm5098|Sh3md1|TSK5|Tks5	SH3 and PX domains 2A	protein-coding
lmo2_peak_1917	chrX	153202716	153202906	+	61	NA	Intergenic	Intergenic	-34937	NM_173780	245671	Mm.260751	NM_173780	ENSMUSG00000041649	Klf8	BKLF3|ZNF74	Kruppel-like factor 8	protein-coding
lmo2_peak_450	chr13	52078750	52078980	+	61	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	-17876	NR_045061	74050	Mm.84860	NR_045061	ENSMUSG00000113211	4921525O09Rik	-	RIKEN cDNA 4921525O09 gene	ncRNA
lmo2_peak_1187	chr4	65280058	65280275	+	61	NA	intron (NM_021362, intron 10 of 21)	intron (NM_021362, intron 10 of 21)	155992	NM_021362	18491	Mm.317854	NM_021362	ENSMUSG00000028370	Pappa	8430414N03Rik|IGFBP-4ase|PAG1|PAPP-A	pregnancy-associated plasma protein A	protein-coding
lmo2_peak_314	chr11	113785463	113785744	+	61	NA	intron (NM_172800, intron 44 of 44)	intron (NM_172800, intron 44 of 44)	-33788	NM_001163346	56699	Mm.293378	NM_020006	ENSMUSG00000041598	Cdc42ep4	1500041M20Rik|Borg4|CEP4	CDC42 effector protein (Rho GTPase binding) 4	protein-coding
lmo2_peak_164	chr10	83805448	83805633	+	61	NA	Intergenic	Intergenic	82675	NM_001145198	69784	Mm.271188	NM_001145198	ENSMUSG00000087651	1500009L16Rik	2700050C19Rik|OCC-1	RIKEN cDNA 1500009L16 gene	protein-coding
lmo2_peak_645	chr15	101139999	101140150	+	61	NA	intron (NM_001277259, intron 10 of 11)	intron (NM_001277259, intron 10 of 11)	11552	NM_009612	11482	Mm.279542	NM_009612	ENSMUSG00000000530	Acvrl1	AI115505|AI427544|Acvrlk1|Alk1	activin A receptor, type II-like 1	protein-coding
lmo2_peak_823	chr18	47331248	47331420	+	61	NA	intron (NM_001311097, intron 1 of 17)	intron (NM_001311097, intron 1 of 17)	37534	NM_018744	20358	Mm.40909	NM_018744	ENSMUSG00000019647	Sema6a	A730020P05Rik|AI851735|Sema6A-1|Semaq|VIa	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	protein-coding
lmo2_peak_1550	chr7	114345931	114346135	+	61	NA	intron (NR_029437, intron 1 of 3)	intron (NR_029437, intron 1 of 3)	69128	NR_029437	71045	Mm.235682	NR_029437	ENSMUSG00000087475	4933406I18Rik	4933403D24Rik	RIKEN cDNA 4933406I18 gene	ncRNA
lmo2_peak_835	chr18	62947669	62947918	+	61	NA	intron (NM_133237, intron 3 of 4)	intron (NM_133237, intron 3 of 4)	25466	NM_133237	494504	Mm.24042	NM_133237	ENSMUSG00000071847	Apcdd1	AB023957|AU041258|Drapc1|EIG180	adenomatosis polyposis coli down-regulated 1	protein-coding
